Dist,L,λ/steps,Noise,Shots,Backend,Fidelity,TVD,TVD±1σ,JSD
EXP,3,0.9,high,8192,ibm_toronto,0.9921894374764625,0.030836204181662906,0.0308±0.0043,0.003598181773746452
EXP,3,1.0,high,8192,ibm_toronto,0.9903636080638769,0.034086976697616525,0.0341±0.0042,0.004339452659069453
EXP,4,0.1,low,4096,ibm_mumbai,0.9980417205733737,0.03508047772617748,0.0351±0.0076,0.0009790271226617175
EXP,4,0.2,low,4096,ibm_mumbai,0.9963382645847614,0.03806262690787895,0.0381±0.0074,0.0018250143595000565
EXP,4,0.30000000000000004,low,4096,ibm_mumbai,0.9899949381404369,0.04176298745892352,0.0418±0.0073,0.004823663261034661
EXP,4,0.4,low,4096,ibm_mumbai,0.9872488490612962,0.04399959641973068,0.0440±0.0071,0.005861281747634337
EXP,4,0.5,low,4096,ibm_mumbai,0.9827380789975373,0.04284377559110491,0.0428±0.0069,0.007388998284342907
EXP,4,0.6,low,4096,ibm_mumbai,0.9775829551094102,0.045878076005136006,0.0459±0.0067,0.009223008847045706
EXP,4,0.7000000000000001,low,4096,ibm_mumbai,0.9753271495915875,0.041979425557528566,0.0420±0.0065,0.009905595696279667
EXP,4,0.8,low,4096,ibm_mumbai,0.9715559492248982,0.05198737091647539,0.0520±0.0064,0.011371811065018333
EXP,4,0.9,low,4096,ibm_mumbai,0.9690765877159115,0.05072227404168226,0.0507±0.0062,0.012187856680426028
EXP,4,1.0,low,4096,ibm_mumbai,0.9671851534734569,0.05394127612948348,0.0539±0.0060,0.012744169979516645
EXP,4,0.1,medium,4096,ibm_mumbai,0.9978218029703358,0.03244759556114408,0.0324±0.0076,0.0010876230357556318
EXP,4,0.2,medium,4096,ibm_mumbai,0.9969068193866064,0.034046488360417064,0.0340±0.0074,0.0015401620717856736
EXP,4,0.30000000000000004,medium,4096,ibm_mumbai,0.9914892852531181,0.04053290897750658,0.0405±0.0073,0.004124544627109962
EXP,4,0.4,medium,4096,ibm_mumbai,0.9872846681392456,0.039274944333511426,0.0393±0.0071,0.005840700032817432
EXP,4,0.5,medium,4096,ibm_mumbai,0.9823237195527956,0.040239205029844634,0.0402±0.0069,0.007571638770791643
EXP,4,0.6,medium,4096,ibm_mumbai,0.9765939667910261,0.04627780863315698,0.0463±0.0067,0.009704304457445419
EXP,4,0.7000000000000001,medium,4096,ibm_mumbai,0.974864875114603,0.04895052959505124,0.0490±0.0066,0.010127455334858057
EXP,4,0.8,medium,4096,ibm_mumbai,0.9715559492248982,0.05198737091647539,0.0520±0.0064,0.011371811065018333
EXP,4,0.9,medium,4096,ibm_mumbai,0.9693724729816717,0.05123254018506493,0.0512±0.0062,0.012024243296508846
EXP,4,1.0,medium,4096,ibm_mumbai,0.9657048208288782,0.052706414699821756,0.0527±0.0060,0.01330523192500066
EXP,4,0.1,high,4096,ibm_mumbai,0.9975409960748068,0.038767988996528044,0.0388±0.0076,0.001229133973180952
EXP,4,0.2,high,4096,ibm_mumbai,0.9966740737193954,0.03617396079664906,0.0362±0.0074,0.001655938274696729
EXP,4,0.30000000000000004,high,4096,ibm_mumbai,0.9914892852531181,0.04053290897750658,0.0405±0.0073,0.004124544627109962
EXP,4,0.4,high,4096,ibm_mumbai,0.9872846681392456,0.039274944333511426,0.0393±0.0071,0.005840700032817432
EXP,4,0.5,high,4096,ibm_mumbai,0.9827781836267362,0.04291596119808333,0.0429±0.0069,0.00737568310836575
EXP,4,0.6,high,4096,ibm_mumbai,0.9765939667910261,0.04627780863315698,0.0463±0.0067,0.009704304457445419
